optimizer,lr,seed,epoch,val_loss,val_top1,val_top5
muon,0.02,43,8,0.286100,90.2800,99.7400
muon,0.02,43,9,0.280900,90.6200,99.6900
muon,0.02,43,10,0.269600,90.7600,99.8100
muon,0.02,43,11,0.269700,91.2800,99.7500
muon,0.02,43,12,0.252800,91.8300,99.7900
muon,0.02,43,13,0.246100,92.0100,99.8300
muon,0.02,43,14,0.251100,92.2200,99.7700
muon,0.02,43,15,0.232800,92.7400,99.8700
muon,0.02,43,16,0.228400,92.7700,99.8300
muon,0.02,43,17,0.224700,93.1000,99.8700
muon,0.02,43,18,0.221500,93.2600,99.9100
muon,0.02,43,19,0.217200,93.3900,99.8800
muon,0.02,43,20,0.216800,93.4200,99.8800
muon,0.02,43,21,0.211700,93.7100,99.8500
muon,0.02,43,22,0.212500,93.7600,99.9000
muon,0.02,43,23,0.212000,93.7400,99.8800
muon,0.02,44,0,1.276200,57.8800,95.5900
muon,0.02,44,1,0.755200,73.1000,98.3900
muon,0.02,44,2,0.584000,80.2100,98.7700
muon,0.02,44,3,0.497800,83.5400,99.1100
muon,0.02,44,4,0.429700,85.3300,99.3800
muon,0.02,44,5,0.391600,86.4100,99.3700
muon,0.02,44,6,0.354600,87.7000,99.6000
muon,0.02,44,7,0.309300,89.5800,99.6600
muon,0.02,44,8,0.291400,90.1500,99.6400
muon,0.02,44,9,0.293000,90.4000,99.7200
muon,0.02,44,10,0.296200,90.2500,99.7500
muon,0.02,44,11,0.251500,91.7600,99.7600
muon,0.02,44,12,0.251900,91.8000,99.6800
muon,0.02,44,13,0.248700,91.8900,99.7600
muon,0.02,44,14,0.236800,92.4400,99.7800
muon,0.02,44,15,0.236400,92.3800,99.8400
muon,0.02,44,16,0.234800,92.7500,99.7900
muon,0.02,44,17,0.222100,93.0400,99.8400
muon,0.02,44,18,0.225000,93.0500,99.8600
muon,0.02,44,19,0.222600,93.3600,99.8400
muon,0.02,44,20,0.218300,93.3100,99.8800
muon,0.02,44,21,0.216100,93.4800,99.8500
muon,0.02,44,22,0.215500,93.4900,99.8500
muon,0.02,44,23,0.215200,93.4600,99.8400
muon,0.04,42,0,0.964700,67.5300,97.4100
muon,0.04,42,1,0.791800,72.6000,97.8700
muon,0.04,42,2,0.627700,78.3100,98.8500
muon,0.04,42,3,0.479200,83.8500,99.1900
muon,0.04,42,4,0.433000,85.5900,99.2600
muon,0.04,42,5,0.358000,88.0300,99.6600
muon,0.04,42,6,0.321500,88.8200,99.6700
muon,0.04,42,7,0.373100,87.3400,99.5100
muon,0.04,42,8,0.303900,89.6300,99.7700
muon,0.04,42,9,0.284900,90.3700,99.7400
muon,0.04,42,10,0.278400,90.7100,99.8100
muon,0.04,42,11,0.252000,91.6700,99.8000
muon,0.04,42,12,0.246400,91.7800,99.8200
muon,0.04,42,13,0.237400,92.4500,99.8400
muon,0.04,42,14,0.242600,92.0900,99.8600
muon,0.04,42,15,0.242700,92.3200,99.8500
