optimizer,lr,seed,completed,num_epochs_observed,total_epochs,wallclock_s,final_val_top1,best_val_top1,last3_val_top1,final_val_loss,best_val_loss,sweep_dir,log_path
mutrust,0.01,42,1,24,24,117.600,93.8400,93.8400,93.8267,0.2096,0.2096,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.01_seed=42.log
mutrust,0.01,43,1,24,24,90.900,93.5500,93.5700,93.5500,0.2135,0.2133,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.01_seed=43.log
mutrust,0.01,44,1,24,24,92.600,93.6000,93.6700,93.5833,0.2172,0.2171,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.01_seed=44.log
mutrust,0.02,42,1,24,24,123.900,93.4500,93.5300,93.4967,0.2189,0.2188,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.02_seed=42.log
mutrust,0.02,43,1,24,24,124.000,93.9300,93.9300,93.8900,0.2081,0.2081,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.02_seed=43.log
mutrust,0.02,44,1,24,24,120.100,93.7200,93.7400,93.7333,0.2148,0.2148,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.02_seed=44.log
mutrust,0.04,42,1,24,24,119.500,93.8600,93.8600,93.8400,0.2111,0.2111,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.04_seed=42.log
mutrust,0.04,43,1,24,24,92.700,93.8800,93.8800,93.8300,0.2105,0.2105,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.04_seed=43.log
mutrust,0.04,44,1,24,24,92.800,93.6600,93.7200,93.6667,0.2115,0.2115,20260421_025555,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_025555/name=mutrust_lr=0.04_seed=44.log
adamw,0.001,42,1,24,24,87.200,92.3900,92.3900,92.3500,0.2342,0.2337,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.001_seed=42.log
adamw,0.001,43,1,24,24,87.400,92.5900,92.6800,92.6100,0.2290,0.2290,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.001_seed=43.log
adamw,0.001,44,1,24,24,87.600,92.6100,92.7000,92.5867,0.2335,0.2335,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.001_seed=44.log
adamw,0.003,42,1,24,24,87.800,93.1900,93.1900,93.1233,0.2280,0.2278,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.003_seed=42.log
adamw,0.003,43,1,24,24,88.400,93.0800,93.1100,93.1000,0.2311,0.2293,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.003_seed=43.log
adamw,0.003,44,1,24,24,87.900,93.0300,93.0300,92.9300,0.2302,0.2302,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.003_seed=44.log
adamw,0.01,42,1,24,24,88.800,93.0900,93.1200,93.0867,0.2440,0.2430,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.01_seed=42.log
adamw,0.01,43,1,24,24,89.100,93.1300,93.1300,93.1100,0.2541,0.2525,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.01_seed=43.log
adamw,0.01,44,1,24,24,88.600,93.1600,93.1900,93.1667,0.2454,0.2442,20260421_030758,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_030758/name=adamw_lr=0.01_seed=44.log
lamb,0.001,42,1,24,24,87.500,85.4900,85.4900,85.4533,0.4241,0.4236,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.001_seed=42.log
lamb,0.001,43,1,24,24,88.900,85.5700,85.5700,85.5367,0.4182,0.4176,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.001_seed=43.log
lamb,0.001,44,1,24,24,124.200,85.6800,85.6900,85.6867,0.4214,0.4214,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.001_seed=44.log
lamb,0.003,42,1,24,24,124.100,90.2900,90.3900,90.3167,0.3001,0.3001,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.003_seed=42.log
lamb,0.003,43,1,24,24,122.300,90.6200,90.6900,90.6433,0.2872,0.2872,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.003_seed=43.log
lamb,0.003,44,1,24,24,122.200,90.8300,90.8400,90.7533,0.2895,0.2893,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.003_seed=44.log
lamb,0.01,42,1,24,24,121.500,92.3500,92.3500,92.3000,0.2423,0.2420,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.01_seed=42.log
lamb,0.01,43,1,24,24,121.900,92.7200,92.7200,92.6300,0.2391,0.2391,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.01_seed=43.log
lamb,0.01,44,1,24,24,87.600,92.3200,92.3400,92.2800,0.2416,0.2409,20260421_031626,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_031626/name=lamb_lr=0.01_seed=44.log
