optimizer,lr,seed,epoch,step,train_loss,train_top1,lr_mult,elapsed_s
muon,0.02,44,7,700,0.211100,93.0600,0.9708,30.700
muon,0.02,44,7,750,0.219800,92.8200,0.9546,32.300
muon,0.02,44,8,800,0.176700,94.3300,0.9350,34.400
muon,0.02,44,8,850,0.178800,94.1600,0.9122,36.000
muon,0.02,44,9,900,0.147200,95.2900,0.8864,38.100
muon,0.02,44,9,950,0.150600,95.1300,0.8578,39.800
muon,0.02,44,10,1000,0.127100,95.9600,0.8265,41.800
muon,0.02,44,10,1050,0.129500,95.8400,0.7928,43.600
muon,0.02,44,11,1100,0.103200,96.6700,0.7569,45.800
muon,0.02,44,11,1150,0.104400,96.6600,0.7192,47.500
muon,0.02,44,12,1200,0.085600,97.4700,0.6798,49.500
muon,0.02,44,12,1250,0.086300,97.4100,0.6391,51.200
muon,0.02,44,13,1300,0.067700,97.9900,0.5973,53.300
muon,0.02,44,13,1350,0.067100,97.9300,0.5549,55.000
muon,0.02,44,14,1400,0.053000,98.4000,0.5120,57.000
muon,0.02,44,14,1450,0.054300,98.3300,0.4691,58.700
muon,0.02,44,15,1500,0.043600,98.7700,0.4264,60.800
muon,0.02,44,15,1550,0.042800,98.7900,0.3842,62.400
muon,0.02,44,16,1600,0.033600,99.0900,0.3429,64.500
muon,0.02,44,17,1650,0.033600,99.0200,0.3027,66.600
muon,0.02,44,17,1700,0.024500,99.4100,0.2640,68.200
muon,0.02,44,18,1750,0.018000,99.6600,0.2271,70.300
muon,0.02,44,18,1800,0.020300,99.5600,0.1921,72.000
muon,0.02,44,19,1850,0.012800,99.7200,0.1594,74.100
muon,0.02,44,19,1900,0.013900,99.7700,0.1293,75.800
muon,0.02,44,20,1950,0.008600,99.9600,0.1018,77.800
muon,0.02,44,20,2000,0.010900,99.8500,0.0774,79.500
muon,0.02,44,21,2050,0.010200,99.8300,0.0560,81.600
muon,0.02,44,21,2100,0.009700,99.8700,0.0379,83.200
muon,0.02,44,22,2150,0.008100,99.8700,0.0232,85.300
muon,0.02,44,22,2200,0.008100,99.8800,0.0120,87.000
muon,0.02,44,23,2250,0.008000,99.9200,0.0045,89.000
muon,0.02,44,23,2300,0.007700,99.9300,0.0006,90.700
muon,0.04,42,0,50,2.111000,30.0800,0.1000,6.300
muon,0.04,42,1,100,1.049300,65.5600,0.2000,8.400
muon,0.04,42,1,150,0.860100,71.9600,0.3000,10.100
muon,0.04,42,2,200,0.573300,81.9000,0.4000,12.200
muon,0.04,42,2,250,0.547800,82.1800,0.5000,13.800
muon,0.04,42,3,300,0.431000,86.3900,0.6000,16.000
muon,0.04,42,3,350,0.434800,86.0900,0.7000,17.600
muon,0.04,42,4,400,0.374500,88.3800,0.8000,19.700
muon,0.04,42,4,450,0.363400,88.1600,0.9000,21.400
